producer;title;size;price;unit_price;url
LEVANT FOODS SP. Z O.O.;AHMAD TEA Herbata czarna English Tea No. 1 100 szt. 200 g;;;;https://mamyito.pl/produkt/herbata-czarna-english-tea-no-1-100-szt-ahmad-tea-200g
LEVANT FOODS SP. Z O.O.;AHMAD TEA Herbata czarna English Tea No.1 z zawieszką 100 szt. 200 g;;;;https://mamyito.pl/produkt/herbata-czarna-english-tea-no1-z-zawieszka-100-szt-ahmad-tea-200g
LEVANT FOODS SP. Z O.O.;AHMAD TEA Herbata czarna o smaku brzoskwini i marakui 20 szt. 40 g;;;;https://mamyito.pl/produkt/herbata-czarna-o-smaku-brzoskwini-i-marakui-20-szt-ahmad-tea-40g
LEVANT FOODS SP. Z O.O.;AHMAD TEA Herbata czarna o smaku waniliowym 20 szt. 40 g;;;;https://mamyito.pl/produkt/herbata-czarna-o-smaku-waniliowym-20-szt-ahmad-tea-40g
COLIAN SP. Z O.O.;AKUKU Żelki zdrowocki o obniżonej zawartości cukru 90 g;;;;https://mamyito.pl/produkt/zelki-zdrowocki-o-obnizonej-zawartosci-cukru-akuku-90g
DANONE SP. Z O.O.;ALPRO Produkt sojowy brzoskwinia VEGE 150 g;;;;https://mamyito.pl/produkt/produkt-sojowy-brzoskwinia-vege-alpro-150g
DANONE SP.Z O.O.;ALPRO Produkt sojowy w stylu skyr mango 150g;;;;https://mamyito.pl/produkt/produkt-sojowy-w-stylu-skyr-mango-alpro-150g
PROCTER&GAMBLE;ALWAYS Podpaski higieniczne Classic Normal 10 szt.;;;;https://mamyito.pl/produkt/always-podpaski-higieniczne-classic-normal-10-szt
PROCTER&GAMBLE;ALWAYS Podpaski higieniczne Classic Super 9 szt.;;;;https://mamyito.pl/produkt/always-podpaski-higieniczne-classic-super-9-szt
AGROHANSA Sp. z o.o.;AMARESTI Migdały w czekoladzie z cynamonem 80 g;;;;https://mamyito.pl/produkt/amaresti-migdaly-w-czekoladzie-z-cynamonem-80-g
AGROHANSA Sp. z o.o.;AMARESTI Orzechy laskowe w czekoladzie 80 g;;;;https://mamyito.pl/produkt/amaresti-orzechy-laskowe-w-czekoladzie-80-g
UNILEVER POLSKA SP. Z O.O.;AMINO Zupa barszcz czerwony 66 g;;;;https://mamyito.pl/produkt/zupa-barszcz-czerwony-amino-66g
UNILEVER POLSKA SP. Z O.O.;AMINO Zupa Pomidorowa z kawałkami pomidorów 61 g;;;;https://mamyito.pl/produkt/zupa-pomidorowa-z-kawalkami-pomidorow-amino-61g
UNILEVER POLSKA SP. Z O.O.;AMINO Zupa rosół złoty 57 g;;;;https://mamyito.pl/produkt/zupa-rosol-zloty-amino-57g
CEDC INTERNATIONAL SP. Z O.O.;APEROL Aperitivo Spritz 11% 700 ml;;;;https://mamyito.pl/produkt/aperitivo-spritz-11-aperol-700ml
FOODWELL SP. Z O.O.;BAKALLAND Daktyle całe owoce 100 g;;;;https://mamyito.pl/produkt/bakalland-daktyle-cale-owoce-100-g
FOODWELL SP. Z O.O.;BAKALLAND Daktyle całe owoce 300 g;;;;https://mamyito.pl/produkt/bakalland-daktyle-cale-owoce-300-g
FOODWELL SP. Z O.O.;BAKALLAND Masa makowa z bakaliami 850 g;;;;https://mamyito.pl/produkt/masa-makowa-z-bakaliami-bakalland-850g
FOODWELL SP. Z O.O.;BAKALLAND Mieszanka bakaliowa 100 g;;;;https://mamyito.pl/produkt/mieszanka-bakaliowa-bakalland-100g
FOODWELL SP. Z O.O.;BAKALLAND Mieszanka studencka klasyczna 150 g;;;;https://mamyito.pl/produkt/mieszanka-studencka-klasyczna-bakalland-150g
FOODWELL SP. Z O.O.;BAKALLAND Morele całe owoce 300 g;;;;https://mamyito.pl/produkt/bakalland-morele-cale-owoce-300-g
FOODWELL SP. Z O.O.;BAKALLAND Morele suszone całe 100 g;;;;https://mamyito.pl/produkt/morele-suszone-cale-bakalland-100g
FOODWELL SP. Z O.O.;BAKALLAND Pestki dyni łuskane 200 g;;;;https://mamyito.pl/produkt/bakalland-pestki-dyni-luskane-200-g
FOODWELL SP. Z O.O.;BAKALLAND Pistacje prażone cebulka & czosnek  70 g;;;;https://mamyito.pl/produkt/bakalland-pistacje-prazone-cebulka-czosnek-70-g
FOODWELL SP. Z O.O.;BAKALLAND Pistacje prażone chilli & limonka 70 g;;;;https://mamyito.pl/produkt/bakalland-pistacje-prazone-chilli-limonka-70-g
FOODWELL SP. Z O.O.;BAKALLAND Pistacje prażone pieprz & sól 70 g;;;;https://mamyito.pl/produkt/bakalland-pistacje-prazone-pieprz-sol-70-g
FOODWELL SP. Z O.O.;BAKALLAND Pistacje prażone w piecu 70 g;;;;https://mamyito.pl/produkt/pistacje-prazone-w-piecu-bakalland-70g
FOODWELL SP. Z O.O.;BAKALLAND Pistacje solone prażone 200g;;;;https://mamyito.pl/produkt/pistacje-solone-prazone-bakalland-200g
FOODWELL SP. Z O.O.;BAKALLAND Popcorn karmelowy 90 g;;;;https://mamyito.pl/produkt/bakalland-popcorn-karmelowy-90-g
FOODWELL SP. Z O.O.;BAKALLAND Popcorn maślany 90 g;;;;https://mamyito.pl/produkt/popcorn-maslany-bakalland-90g
FOODWELL SP. Z O.O.;BAKALLAND Popcorn serowy 90 g;;;;https://mamyito.pl/produkt/bakalland-popcorn-serowy-90-g
FOODWELL SP. Z O.O.;BAKALLAND Popcorn solony 90 g;;;;https://mamyito.pl/produkt/popcorn-solony-bakalland-90g
FOODWELL SP. Z O.O.;BAKALLAND Rodzynki luksusowe 100 g;;;;https://mamyito.pl/produkt/rodzynki-luksusowe-bakalland-100g
FOODWELL SP. Z O.O.;BAKALLAND Rodzynki sułtańskie 100 g;;;;https://mamyito.pl/produkt/bakalland-rodzynki-sultanskie-100-g
FOODWELL SP. Z O.O.;BAKALLAND Rodzynki sułtańskie 200 g;;;;https://mamyito.pl/produkt/rodzynki-sultanskie-bakalland-200g
FOODWELL SP. Z O.O.;BAKALLAND Śliwki suszone bez pestek 200 g;;;;https://mamyito.pl/produkt/sliwki-suszone-bez-pestek-bakalland-200g
FOODWELL SP. Z O.O.;BAKALLAND Słonecznik łuskany 200 g;;;;https://mamyito.pl/produkt/bakalland-slonecznik-luskany-200-g
FOODWELL SP. Z O.O.;BAKALLAND Wiórki kokosowe 100 g;;;;https://mamyito.pl/produkt/wiorki-kokosowe-bakalland-100g
FOODWELL SP. Z O.O.;BAKALLAND Żurawina suszona 300 g;;;;https://mamyito.pl/produkt/zurawina-suszona-bakalland-300g
NIVEA POLSKA SP. Z O.O. GRUPA BEIERSDORF;BAMBINO Mydło z lanoliną dla dzieci 90 g;;;;https://mamyito.pl/produkt/mydlo-z-lanolina-dla-dzieci-bambino-90g
BARILLA POLAND SP. Z O.O.;BARILLA Makaron fusilli 500g;;;;https://mamyito.pl/produkt/makaron-fusilli-barilla-500g
BARILLA POLAND SP. Z O.O.;BARILLA Makaron gnocchi 500 g;;;;https://mamyito.pl/produkt/makaron-gnocchi-barilla-500g
BARILLA POLAND SP. Z O.O.;BARILLA Makaron lasagne 500g;;;;https://mamyito.pl/produkt/makaron-lasagne-barilla-500g
BARILLA POLAND SP. Z O.O.;BARILLA Makaron penne rigate 500g;;;;https://mamyito.pl/produkt/makaron-penne-rigate-barilla-500g
BARILLA POLAND SP. Z O.O.;BARILLA Makaron spaghetti 500g;;;;https://mamyito.pl/produkt/makaron-spaghetti-barilla-500g
BARILLA POLAND SP. Z O.O.;BARILLA Makaron tagliatelle wstążki 500g;;;;https://mamyito.pl/produkt/makaron-tgliatelle-wstazki-barilla-500g
BARILLA POLAND SP. Z O.O.;BARILLA Sos pomidorowy Arrabbiata z papryką chili 400g;;;;https://mamyito.pl/produkt/sos-pomidorowy-arrabbiata-z-papryka-chili-barilla-400g
NUTRICIA POLSKA SP. Z O.O.;BEBILON PRONUTRA ADVANCE 2 Mleko następne po 6. miesiącu 350 g;;;;https://mamyito.pl/produkt/bebilon-pronutra-advance-2-mleko-nastepne-po-6-miesiacu-350-g
BELL POLSKA SP. Z O.O.;BELL Kiełbasa dojrzewająca salami pepperoni 100 g;;;;https://mamyito.pl/produkt/kielbasa-dojrzewajaca-salami-pepperoni-bell-100g
BELL POLSKA SP. Z O.O.;BELL Salami delikatesowe 100 g;;;;https://mamyito.pl/produkt/salami-delikatesowe-bell-100g
PURELLA SP. Z O.O.;BE RAW! Baton Crunchy Peanuts & Caramel 40 g;;;;https://mamyito.pl/produkt/be-raw-baton-crunchy-peanuts-caramel-40-g
PURELLA SP. Z O.O.;BeRAW! Baton Energy Peanut butter 40 g;;;;https://mamyito.pl/produkt/be-raw-baton-energy-peanut-butter-40-g
PURELLA SP. Z O.O.;BE RAW! Baton Energy Raspberry choco power 40 g;;;;https://mamyito.pl/produkt/be-raw-baton-energy-raspberry-choco-power-40-g
PURELLA SP. Z O.O.;BE RAW! Baton Protein 27% Peanut butter 40 g;;;;https://mamyito.pl/produkt/be-raw-baton-protein-27-peanut-butter-40-g
PURELLA SP. Z O.O.;BE RAW! Baton Protein 28% Vanilla Cheesecake 40 g;;;;https://mamyito.pl/produkt/be-raw-baton-protein-28-vanilla-cheesecake-40-g
AKSAM SP. Z O.O., SP.K.;BESKIDZKIE Precelki z solą 140 g;;;;https://mamyito.pl/produkt/precelki-z-sola-beskidzkie-140g
POLLENA KOSMETYKI I MYDŁA NATURALNE SP. Z O.O., SP.K.;BIAŁY JELEŃ Emulsja do higieny intymnej Kozie Mleko hipoalergiczna 265 ml;;;;https://mamyito.pl/produkt/emulsja-do-higieny-intymnej-kozie-mleko-hipoalergiczna-bialy-jelen-265ml
POLLENA KOSMETYKI I MYDŁA NATURALNE SP. Z O.O., SP.K.;BIAŁY JELEŃ Żel do higieny intymnej z aloesem hipoalergiczny 500 ml;;;;https://mamyito.pl/produkt/zel-do-higieny-intymnej-z-aloesem-hipoalergiczny-bialy-jelen-500ml
HERBAPOL-LUBLIN S.A.;BIG-ACTIVE Herbata czarna Ceylon 100 szt. 150 g;;;;https://mamyito.pl/produkt/big-active-herbata-czarna-ceylon-100-szt-150-g
HERBAPOL-LUBLIN S.A.;BIG-ACTIVE Herbata czarna Ceylon 25 szt. 37,5 g;;;;https://mamyito.pl/produkt/big-active-herbata-czarna-ceylon-25-szt-375-g
HERBAPOL-LUBLIN S.A.;BIG-ACTIVE Herbata czarna Earl Grey 25 szt. 37,5 g;;;;https://mamyito.pl/produkt/big-active-herbata-czarna-earl-grey-25-szt-375-g
HERBAPOL-LUBLIN S.A.;BIG-ACTIVE Herbata czarna Earl Grey 50 szt. 75 g;;;;https://mamyito.pl/produkt/big-active-herbata-czarna-earl-grey-50-szt-75-g
HERBAPOL-LUBLIN S.A.;BIG-ACTIVE Herbata czarna liściasta Ceylon 100 g;;;;https://mamyito.pl/produkt/big-active-herbata-czarna-lisciasta-ceylon-100-g
HERBAPOL-LUBLIN S.A.;BIG-ACTIVE Herbata zielona liściasta Pure Green 100 g;;;;https://mamyito.pl/produkt/big-active-herbata-zielona-lisciasta-pure-green-100-g
MIX BRANDS SP. Z O.O.;BIG NATURE Chia - nasiona szałwii hiszpańskiej 300 g;;;;https://mamyito.pl/produkt/chia-nasiona-szalwii-hiszpanskiej-big-nature-300g
