recipe_id,ingredient_id,amount,unit
61,44,5,g
61,45,150,g
61,19,5,ml
61,1,2,szt
61,5,1,g
61,6,0.5,g
62,11,200,g
62,56,60,g
62,50,200,g
62,10,10,g
62,13,10,g
63,59,300,ml
63,15,120,g
63,38,150,g
63,10,10,g
63,9,1,g
64,26,2,plastry
64,75,120,g
64,50,150,g
64,10,10,g
64,9,1,g
65,1,2,szt
65,55,120,g
65,24,30,g
65,12,120,g
65,10,10,g
65,25,5,ml
65,5,0.5,g
66,61,60,g
66,41,300,ml
66,62,20,g
66,3,200,g
66,47,40,g
66,63,60,g
66,25,5,ml
66,5,1,g
66,6,0.5,g
67,17,4,plastry
67,72,160,g
67,18,120,g
67,22,40,g
67,29,30,g
67,19,10,ml
67,58,5,g
67,5,1,g
67,6,0.5,g
68,59,150,ml
68,1,2,szt
68,24,80,g
68,23,4,g
68,8,200,g
68,9,1,g
68,10,10,g
68,25,10,ml
68,5,0.5,g
69,68,200,g
69,74,150,g
69,67,20,g
69,10,10,g
69,13,5,g
70,40,60,g
70,14,250,ml
70,41,150,ml
70,39,5,g
70,48,25,g
70,10,10,g
70,27,1,g
70,5,0.5,g
71,76,300,g
71,29,50,g
71,1,2,szt
71,25,15,ml
71,5,1,g
71,6,0.5,g
72,77,300,g
72,18,120,g
72,19,5,ml
72,1,2,szt
72,25,5,ml
72,4,5,g
72,5,1,g
72,6,0.5,g
73,7,70,g
73,78,250,ml
73,38,150,g
73,13,10,g
73,79,10,g
73,10,10,g
73,5,0.5,g
74,20,200,g
74,1,2,szt
74,24,60,g
74,23,4,g
74,80,10,g
74,27,1,g
74,25,10,ml
74,10,15,g
74,5,0.5,g
75,26,2,plastry
75,75,100,g
75,81,40,g
75,9,1,g
76,17,4,plastry
76,42,80,g
76,82,120,g
76,45,150,g
76,44,5,g
76,19,10,ml
76,6,0.5,g
76,5,1,g
77,83,200,g
77,45,150,g
77,47,40,g
77,46,80,g
77,69,15,g
77,25,10,ml
77,19,10,ml
77,5,1,g
77,6,0.5,g
78,13,25,g
78,14,200,ml
78,39,7,g
78,16,20,g
78,15,120,g
78,10,10,g
79,34,2,szt
79,1,3,szt
79,71,40,g
79,37,60,g
79,36,60,g
79,25,10,ml
79,5,1,g
79,6,0.5,g
80,24,120,g
80,1,2,szt
80,14,300,ml
80,25,10,ml
80,84,120,g
80,50,250,g
80,10,15,g
80,27,1,g
80,5,0.5,g
81,40,60,g
81,78,250,ml
81,41,150,ml
81,15,120,g
81,79,10,g
81,10,10,g
81,9,1,g
81,5,0.5,g
82,11,150,g
82,38,150,g
82,74,150,g
82,13,10,g
82,10,10,g
83,1,3,szt
83,57,150,g
83,29,40,g
83,85,60,g
83,25,10,ml
83,5,1,g
83,6,0.5,g
84,17,4,plastry
84,60,120,g
84,3,200,g
84,47,40,g
84,86,60,g
84,19,10,ml
84,5,1,g
84,6,0.5,g
85,55,200,g
85,66,150,g
85,80,8,g
85,9,1,g
85,10,10,g
86,76,350,g
86,29,40,g
86,1,1,szt
86,24,20,g
86,25,15,ml
86,22,80,g
86,44,5,g
86,5,2,g
86,6,1,g
87,7,70,g
87,14,250,ml
87,87,30,g
87,67,20,g
87,9,1,g
87,10,10,g
87,5,0.5,g
88,55,200,g
88,88,60,ml
88,56,40,g
88,39,5,g
88,10,10,g
89,89,60,g
89,41,120,ml
89,11,150,g
89,38,150,g
89,13,10,g
89,10,10,g
89,5,0.5,g
90,17,2,plastry
90,85,60,g
90,66,100,g
90,67,15,g
90,10,10,g
90,9,1,g
91,34,2,szt
91,72,160,g
91,73,80,g
91,22,60,g
91,47,40,g
91,29,30,g
91,19,10,ml
91,5,1,g
91,6,0.5,g
92,77,300,g
92,1,2,szt
